Team,Type,Subtype,Period,Minute,Start Time [s],End Time [s],From,To,Start X,Start Y,End X,End Y
Home,BALL LOST,INTERCEPTION,2,82,4955.16,4957.76,Player14,,6.36,8.16,-23.32,14.96
Away,RECOVERY,INTERCEPTION,2,82,4956.8,4956.8,Player16,,-14.84,8.84,,
Away,PASS,,2,82,4960.2,4961.8,Player16,Player25,-37.1,17.0,-51.94,12.24
Away,BALL LOST,INTERCEPTION,2,82,4962.04,4965.84,Player25,,-51.94,12.24,-5.3,4.76
Home,RECOVERY,INTERCEPTION,2,82,4965.88,4965.88,Player12,,-7.42,2.04,,
Home,BALL LOST,HEAD,2,82,4965.96,4967.56,Player12,,-7.42,2.04,-15.9,3.4
Away,RECOVERY,INTERCEPTION,2,82,4967.88,4967.88,Player15,,-20.14,-0.68,,
Away,PASS,,2,82,4968.76,4970.36,Player15,Player17,-19.08,-2.04,-24.38,-19.04
Away,PASS,,2,82,4972.96,4974.24,Player17,Player16,-28.62,-17.0,-25.44,-1.36
Away,PASS,,2,82,4975.84,4978.04,Player16,Player27,-24.38,-0.68,0.0,29.24
Away,PASS,,2,83,4980.16,4980.56,Player27,Player28,5.3,29.24,9.54,19.04
Away,PASS,,2,83,4981.44,4984.56,Player28,Player27,10.6,19.72,32.86,31.28
Away,PASS,,2,83,4988.84,4990.04,Player27,Player23,46.64,13.6,37.1,5.44
Away,SHOT,OFF TARGET-OUT,2,83,4990.2,4991.0,Player23,,37.1,6.12,56.18,5.44
Home,RECOVERY,,2,83,4991.48,4991.48,Player11,,51.94,1.36,,
Away,RECOVERY,,2,83,4994.72,4994.72,Player25,,-32.86,0.68,,
Home,PASS,GOAL KICK,2,83,5022.32,5027.08,Player11,Player9,50.88,2.04,-14.84,26.52
Away,BALL LOST,GOAL KICK,2,83,5024.88,5027.44,Player25,,-41.34,4.76,-13.78,25.16
Home,BALL LOST,INTERCEPTION,2,83,5027.2,5027.8,Player9,,-14.84,26.52,-11.66,29.92
Away,RECOVERY,INTERCEPTION,2,83,5027.64,5027.64,Player21,,-13.78,27.2,,
Away,CHALLENGE,TACKLE-LOST,2,83,5031.68,5031.68,Player21,,-3.18,30.6,,
Away,BALL LOST,THEFT,2,83,5031.68,5031.68,Player21,,-3.18,30.6,-5.3,29.92
Home,CHALLENGE,TACKLE-WON,2,83,5031.76,5031.76,Player9,,-3.18,30.6,,
Home,RECOVERY,THEFT,2,83,5031.76,5031.76,Player9,,-3.18,30.6,,
Home,PASS,,2,83,5033.2,5034.2,Player9,Player2,-2.12,28.56,12.72,23.12
Home,PASS,,2,83,5035.92,5036.72,Player2,Player12,15.9,20.4,7.42,9.52
Away,CHALLENGE,TACKLE-FAULT-LOST,2,83,5036.92,5036.92,Player26,,8.48,9.52,,
Home,CHALLENGE,TACKLE-FAULT-WON,2,83,5037.6,5037.6,Player12,,9.54,12.92,,
Home,FAULT RECEIVED,,2,83,5037.6,5037.6,Player12,,9.54,12.92,,
Away,CARD,YELLOW,2,83,5038.12,5038.12,Player26,,,,,
Home,SET PIECE,FREE KICK,2,84,5071.08,5071.08,Player2,,,,,
Home,PASS,,2,84,5071.12,5073.04,Player2,Player3,8.48,9.52,20.14,0.68
Home,PASS,,2,84,5073.56,5074.68,Player3,Player4,20.14,-0.68,16.96,-19.72
Home,PASS,,2,84,5076.6,5077.68,Player4,Player8,11.66,-24.48,1.06,-31.28
Home,PASS,,2,84,5080.28,5081.48,Player8,Player12,4.24,-19.72,10.6,-19.04
Home,BALL LOST,INTERCEPTION,2,84,5082.48,5084.48,Player12,,12.72,-18.36,-4.24,19.04
Away,RECOVERY,INTERCEPTION,2,84,5084.2,5084.2,Player27,,-4.24,15.64,,
Away,PASS,,2,84,5087.56,5088.44,Player27,Player28,12.72,17.68,20.14,29.24
Away,PASS,,2,84,5095.4,5095.68,Player28,Player27,38.16,26.52,36.04,32.64
Away,PASS,,2,84,5095.92,5096.92,Player27,Player21,34.98,32.64,22.26,21.08
Away,PASS,,2,85,5100.32,5101.0,Player21,Player17,24.38,19.04,33.92,14.96
Home,CHALLENGE,TACKLE-WON,2,85,5102.2,5102.2,Player2,,37.1,10.88,,
Home,RECOVERY,THEFT,2,85,5102.2,5102.2,Player2,,37.1,10.88,,
Home,PASS,,2,85,5102.4,5103.48,Player2,Player5,37.1,10.88,29.68,8.84
Away,CHALLENGE,TACKLE-LOST,2,85,5102.8,5102.8,Player17,,37.1,10.2,,
Away,BALL LOST,THEFT,2,85,5102.8,5102.8,Player17,,37.1,10.2,33.92,9.52
Away,CHALLENGE,TACKLE-WON,2,85,5107.12,5107.12,Player26,,7.42,5.44,,
Away,RECOVERY,THEFT,2,85,5107.12,5107.12,Player26,,7.42,5.44,,
Home,CHALLENGE,TACKLE-LOST,2,85,5107.2,5107.2,Player5,,8.48,4.08,,
Home,BALL LOST,THEFT,2,85,5107.2,5107.2,Player5,,8.48,4.08,7.42,3.4
Home,CHALLENGE,TACKLE-LOST,2,85,5110.84,5110.84,Player14,,14.84,12.24,,
Away,PASS,,2,85,5112.48,5113.32,Player26,Player17,22.26,9.52,25.44,0.68
Away,BALL LOST,INTERCEPTION,2,85,5113.56,5115.16,Player17,,25.44,-0.0,37.1,-4.76
Home,RECOVERY,INTERCEPTION,2,85,5115.56,5115.56,Player3,,37.1,-3.4,,
Home,PASS,HEAD,2,85,5115.64,5116.44,Player3,Player12,37.1,-3.4,32.86,-6.8
Home,PASS,,2,85,5116.76,5118.16,Player12,Player4,33.92,-7.48,41.34,-17.0
Home,PASS,,2,85,5118.36,5120.36,Player4,Player8,41.34,-18.36,16.96,-29.92
Home,PASS,,2,85,5122.32,5123.52,Player8,Player13,4.24,-27.88,-11.66,-31.96
Home,PASS,,2,85,5128.88,5131.28,Player13,Player14,-36.04,-13.6,-31.8,5.44
Away,CHALLENGE,TACKLE-WON,2,85,5133.4,5133.4,Player27,,-32.86,-0.0,,
Away,RECOVERY,THEFT,2,85,5133.4,5133.4,Player27,,-32.86,-0.0,,
Away,CHALLENGE,TACKLE-FAULT-WON,2,85,5133.96,5133.96,Player27,,-30.74,-2.72,,
Away,FAULT RECEIVED,,2,85,5133.96,5133.96,Player27,,-30.74,-2.72,,
Home,CHALLENGE,TACKLE-LOST,2,85,5134.76,5134.76,Player14,,-30.74,-3.4,,
Home,BALL LOST,THEFT,2,85,5134.76,5134.76,Player14,,-30.74,-3.4,,
Home,CHALLENGE,TACKLE-FAULT-LOST,2,85,5135.08,5135.08,Player14,,-29.68,-3.4,,
Home,CARD,YELLOW,2,85,5143.84,5143.84,Player14,,,,,
Away,SET PIECE,FREE KICK,2,86,5169.12,5169.12,Player16,,,,,
Away,PASS,,2,86,5169.4,5170.88,Player16,Player21,-23.32,-4.76,-11.66,-21.76
Away,PASS,,2,86,5175.08,5176.2,Player21,Player17,-2.12,-25.16,2.12,-34.0
Away,PASS,,2,86,5176.48,5177.68,Player17,Player15,2.12,-34.0,-14.84,-23.12
Away,PASS,,2,86,5183.72,5184.32,Player15,Player21,-10.6,-23.8,0.0,-21.76
Away,PASS,,2,86,5184.72,5185.2,Player21,Player17,1.06,-22.44,2.12,-34.0
Away,PASS,,2,86,5187.12,5188.2,Player17,Player18,7.42,-32.64,24.38,-19.72
Away,PASS,,2,86,5188.88,5189.2,Player18,Player28,25.44,-19.04,26.5,-23.12
Away,BALL LOST,INTERCEPTION,2,86,5190.56,5191.44,Player28,,32.86,-17.0,37.1,-8.84
Home,CHALLENGE,TACKLE-WON,2,86,5191.12,5191.12,Player5,,33.92,-9.52,,
Home,RECOVERY,INTERCEPTION,2,86,5191.12,5191.12,Player5,,33.92,-9.52,,
Home,PASS,,2,86,5191.52,5192.24,Player5,Player2,36.04,-8.84,40.28,-8.16
Home,BALL LOST,INTERCEPTION,2,86,5192.4,5194.72,Player2,,40.28,-8.16,10.6,-25.84
Away,RECOVERY,INTERCEPTION,2,86,5194.48,5194.48,Player17,,10.6,-25.84,,
Away,PASS,,2,86,5194.76,5196.44,Player17,Player16,9.54,-25.16,3.18,-11.56
Home,CHALLENGE,TACKLE-LOST,2,86,5196.48,5196.48,Player13,,5.3,-11.56,,
Away,PASS,,2,86,5196.64,5197.92,Player16,Player21,3.18,-12.24,11.66,-15.64
Away,PASS,,2,86,5198.92,5201.72,Player21,Player27,13.78,-14.28,30.74,23.12
Away,PASS,,2,86,5207.08,5208.08,Player27,Player23,40.28,12.24,36.04,4.76
Away,PASS,,2,86,5208.32,5209.32,Player23,Player21,36.04,5.44,26.5,4.08
Away,PASS,,2,86,5210.6,5211.4,Player21,Player17,26.5,2.04,27.56,-19.04
Away,BALL LOST,INTERCEPTION,2,86,5213.2,5214.52,Player17,,36.04,-19.72,50.88,0.68
Home,RECOVERY,INTERCEPTION,2,86,5214.44,5214.44,Player11,,49.82,2.04,,
Home,PASS,,2,86,5216.12,5217.72,Player11,Player14,43.46,6.8,28.62,16.32
Home,PASS,,2,87,5220.4,5221.2,Player14,Player12,19.08,14.96,15.9,-0.0
Home,PASS,,2,87,5222.6,5223.8,Player12,Player8,9.54,-0.0,0.0,-10.88
Home,PASS,,2,87,5225.72,5227.0,Player8,Player9,-9.54,-12.92,-25.44,-23.12
Home,PASS,,2,87,5230.52,5232.32,Player9,Player12,-38.16,-21.08,-22.26,-3.4
Home,PASS,,2,87,5233.56,5237.16,Player12,Player8,-23.32,-2.72,-36.04,-26.52
Home,PASS,,2,87,5242.68,5245.68,Player8,Player4,-42.4,-30.6,-11.66,-31.96
Home,PASS,,2,87,5247.64,5249.16,Player4,Player3,-10.6,-31.28,4.24,-21.08
Home,PASS,,2,87,5250.24,5252.76,Player3,Player7,4.24,-19.04,-5.3,23.8
Home,PASS,,2,87,5255.96,5256.96,Player7,Player14,-11.66,25.16,-20.14,29.92
Home,PASS,,2,87,5257.16,5257.96,Player14,Player7,-20.14,29.92,-13.78,24.48
Home,PASS,,2,87,5258.64,5259.16,Player7,Player5,-13.78,23.8,-13.78,10.2
Home,BALL LOST,INTERCEPTION,2,87,5261.36,5262.36,Player5,,-15.9,9.52,-32.86,-5.44
Away,RECOVERY,INTERCEPTION,2,87,5262.28,5262.28,Player15,,-31.8,-4.76,,
Away,BALL LOST,INTERCEPTION,2,87,5262.48,5266.04,Player15,,-31.8,-4.76,-7.42,8.84
Away,CHALLENGE,AERIAL-LOST,2,87,5266.04,5266.04,Player26,,-7.42,6.8,,
Home,RECOVERY,INTERCEPTION,2,87,5266.84,5266.84,Player5,,-6.36,8.16,,
Home,PASS,,2,87,5267.24,5268.16,Player5,Player7,-6.36,9.52,-2.12,21.08
Home,PASS,,2,87,5272.0,5272.88,Player7,Player5,-7.42,27.2,-7.42,14.96
Home,PASS,,2,87,5274.0,5274.92,Player5,Player7,-7.42,17.68,-2.12,29.24
Home,PASS,,2,87,5276.2,5277.0,Player7,Player2,1.06,29.92,20.14,21.08
Home,PASS,,2,87,5277.8,5279.8,Player2,Player3,22.26,21.08,25.44,-8.16
Home,PASS,,2,88,5281.92,5282.8,Player3,Player4,29.68,-19.04,19.08,-29.92
Home,PASS,,2,88,5287.52,5289.4,Player4,Player7,7.42,-17.68,9.54,24.48
Home,PASS,,2,88,5291.72,5292.8,Player7,Player2,8.48,25.84,18.02,14.96
Home,PASS,,2,88,5294.6,5295.72,Player2,Player12,14.84,15.64,3.18,-6.8
Home,PASS,,2,88,5296.92,5297.72,Player12,Player5,3.18,-5.44,1.06,3.4
Home,PASS,,2,88,5298.0,5299.0,Player5,Player12,1.06,3.4,-4.24,-3.4
Home,PASS,,2,88,5304.28,5305.08,Player12,Player14,-26.5,12.92,-32.86,25.16
Away,CHALLENGE,AERIAL-WON,2,88,5309.12,5309.12,Player17,,-45.58,-5.44,,
Away,RECOVERY,INTERCEPTION,2,88,5309.12,5309.12,Player17,,-45.58,-5.44,,
Away,PASS,HEAD,2,88,5309.28,5311.0,Player17,Player28,-45.58,-5.44,-37.1,-0.0
Home,BALL LOST,INTERCEPTION,2,88,5309.72,5309.72,Player14,,-30.74,14.96,-45.58,-7.48
Away,CHALLENGE,TACKLE-FAULT-WON,2,88,5315.0,5315.0,Player28,,-20.14,-12.92,,
Away,FAULT RECEIVED,,2,88,5315.0,5315.0,Player28,,-20.14,-12.92,,
Home,CHALLENGE,TACKLE-FAULT-LOST,2,88,5315.24,5315.24,Player9,,-19.08,-12.92,,
Away,SET PIECE,FREE KICK,2,88,5329.52,5329.52,Player16,,,,,
Away,PASS,,2,88,5329.68,5330.56,Player16,Player21,-20.14,-7.48,-15.9,4.76
Away,PASS,,2,88,5332.68,5334.36,Player21,Player27,-11.66,8.84,6.36,30.6
Away,PASS,,2,88,5336.12,5337.12,Player27,Player21,7.42,31.28,-1.06,19.72
Away,PASS,,2,88,5339.8,5341.0,Player21,Player28,3.18,15.64,5.3,-0.0
Away,PASS,,2,89,5345.0,5347.12,Player28,Player27,12.72,-6.12,36.04,27.88
Away,PASS,,2,89,5351.28,5353.0,Player27,Player21,34.98,32.64,20.14,19.04
Away,PASS,,2,89,5355.68,5358.16,Player21,Player17,22.26,17.68,34.98,-20.4
Away,PASS,,2,89,5360.48,5360.8,Player17,Player28,29.68,-23.8,22.26,-8.16
Away,SHOT,OFF TARGET-OUT,2,89,5361.64,5363.04,Player28,,24.38,-10.2,55.12,-9.52
Home,RECOVERY,,2,89,5366.32,5366.32,Player11,,54.06,-6.12,,
Home,PASS,GOAL KICK,2,89,5393.12,5395.44,Player11,Player8,48.76,-1.36,-8.48,-19.72
Home,BALL LOST,HEAD-INTERCEPTION,2,89,5395.48,5396.48,Player8,,-8.48,-19.72,-26.5,-12.92
Away,CHALLENGE,TACKLE-FAULT-WON,2,89,5396.6,5396.6,Player17,,-12.72,-23.8,,
Away,SET PIECE,FREE KICK,2,90,5403.4,5403.4,Player21,,,,,
Away,PASS,,2,90,5403.68,5404.2,Player21,Player15,-13.78,-16.32,-14.84,-19.72
Away,BALL LOST,INTERCEPTION,2,90,5405.0,5406.0,Player15,,-13.78,-19.72,-2.12,-21.76
Away,RECOVERY,INTERCEPTION,2,90,5408.52,5408.52,Player15,,-11.66,-29.92,,
Away,PASS,,2,90,5408.68,5409.48,Player15,Player28,-11.66,-30.6,-2.12,-24.48
Away,PASS,,2,90,5410.64,5413.16,Player28,Player23,-1.06,-25.84,27.56,-30.6
Away,PASS,,2,90,5416.96,5417.76,Player23,Player17,39.22,-31.28,30.74,-25.16
Away,PASS,,2,90,5419.76,5420.96,Player17,Player28,32.86,-19.72,26.5,-10.88
Away,BALL LOST,INTERCEPTION,2,90,5421.24,5422.44,Player28,,26.5,-11.56,39.22,12.24
Home,RECOVERY,INTERCEPTION,2,90,5422.64,5422.64,Player7,,40.28,10.2,,
Home,PASS,,2,90,5423.4,5423.8,Player7,Player14,39.22,13.6,31.8,8.16
Home,PASS,,2,90,5429.08,5432.88,Player14,Player9,0.0,13.6,-23.32,-21.76
Home,SHOT,OFF TARGET,2,90,5438.28,5440.88,Player9,,-36.04,-4.08,-50.88,-6.12
Away,RECOVERY,INTERCEPTION,2,90,5441.0,5441.0,Player25,,-51.94,-8.16,,
Away,PASS,,2,90,5448.4,5449.2,Player25,Player21,-37.1,-9.52,-23.32,-17.0
Away,PASS,,2,90,5453.52,5454.2,Player21,Player23,3.18,-22.44,6.36,-32.64
Away,PASS,,2,90,5455.24,5456.52,Player23,Player21,7.42,-32.64,16.96,-29.92
Away,BALL LOST,INTERCEPTION,2,91,5460.32,5460.8,Player21,,24.38,-21.08,30.74,-5.44
Home,RECOVERY,INTERCEPTION,2,91,5460.76,5460.76,Player12,,27.56,-8.16,,
Home,PASS,,2,91,5460.88,5461.76,Player12,Player3,27.56,-8.16,33.92,-12.24
Home,PASS,,2,91,5462.2,5463.92,Player3,Player14,33.92,-11.56,21.2,-0.68
Home,PASS,,2,91,5465.08,5466.16,Player14,Player3,21.2,-0.68,28.62,-6.8
Home,PASS,,2,91,5468.96,5470.16,Player3,Player13,24.38,-6.8,7.42,6.12
Home,PASS,,2,91,5470.52,5471.12,Player13,Player14,8.48,6.12,13.78,3.4
Home,PASS,,2,91,5471.56,5473.04,Player14,Player7,13.78,4.08,25.44,17.68
Home,PASS,,2,91,5476.24,5477.16,Player7,Player2,24.38,19.04,34.98,10.2
Home,PASS,,2,91,5478.44,5479.44,Player2,Player11,32.86,9.52,47.7,-2.04
Home,PASS,,2,91,5484.24,5485.84,Player11,Player5,47.7,2.04,21.2,-8.16
Home,PASS,,2,91,5487.24,5487.96,Player5,Player9,18.02,-6.12,5.3,-13.6
Home,CHALLENGE,TACKLE-FAULT-WON,2,91,5488.44,5488.44,Player9,,6.36,-13.6,,
Home,FAULT RECEIVED,,2,91,5488.44,5488.44,Player9,,6.36,-13.6,,
Away,CHALLENGE,TACKLE-FAULT-LOST,2,91,5489.4,5489.4,Player15,,5.3,-14.28,,
Away,CARD,YELLOW,2,91,5490.52,5490.52,Player15,,,,,
Home,SET PIECE,FREE KICK,2,92,5541.56,5541.56,Player3,,,,,
Home,PASS,,2,92,5541.8,5543.08,Player3,Player2,10.6,-15.64,16.96,-2.72
Home,PASS,,2,92,5545.88,5547.0,Player2,Player14,16.96,6.8,-1.06,22.44
Home,PASS,,2,92,5547.36,5549.16,Player14,Player12,0.0,22.44,7.42,12.92
Home,PASS,,2,92,5550.44,5551.76,Player12,Player3,6.36,10.2,14.84,-8.84
Home,PASS,,2,92,5553.84,5554.84,Player3,Player5,12.72,-11.56,5.3,-4.76
Home,PASS,,2,92,5557.16,5558.16,Player5,Player2,7.42,-4.08,14.84,12.24
Home,PASS,,2,92,5559.44,5560.44,Player2,Player7,15.9,17.68,7.42,29.92
Home,PASS,,2,92,5561.16,5561.76,Player7,Player12,8.48,30.6,7.42,18.36
Home,PASS,,2,92,5563.56,5564.04,Player12,Player13,9.54,21.76,1.06,27.88
Away,CHALLENGE,TACKLE-FAULT-LOST,2,92,5564.4,5564.4,Player20,,1.06,27.88,,
Home,CHALLENGE,TACKLE-FAULT-WON,2,92,5565.32,5565.32,Player13,,3.18,27.88,,
Home,FAULT RECEIVED,,2,92,5565.32,5565.32,Player13,,3.18,27.88,,
Home,SET PIECE,FREE KICK,2,93,5582.72,5582.72,Player12,,,,,
Home,PASS,,2,93,5582.84,5583.84,Player12,Player2,2.12,19.72,15.9,16.32
Home,PASS,,2,93,5585.16,5586.68,Player2,Player3,16.96,16.32,22.26,-2.72
Home,PASS,,2,93,5588.96,5590.16,Player3,Player2,22.26,2.04,26.5,21.08
Home,PASS,,2,93,5591.28,5592.16,Player2,Player7,26.5,24.48,16.96,31.96
Home,PASS,,2,93,5592.96,5594.08,Player7,Player14,16.96,31.96,6.36,23.8
Away,CHALLENGE,TACKLE-WON,2,93,5594.04,5594.04,Player28,,11.66,22.44,,
Away,RECOVERY,THEFT,2,93,5594.04,5594.04,Player28,,11.66,22.44,,
Home,BALL LOST,INTERCEPTION,2,93,5594.28,5594.4,Player14,,7.42,23.12,12.72,17.0
Away,PASS,,2,93,5594.68,5594.96,Player28,Player21,9.54,23.12,7.42,17.0
Away,PASS,,2,93,5595.92,5597.72,Player21,Player26,7.42,17.0,22.26,21.76
Away,BALL OUT,,2,93,5602.28,5604.48,Player26,,25.44,3.4,55.12,-14.28
Home,RECOVERY,,2,93,5605.4,5605.4,Player11,,50.88,-1.36,,
Home,PASS,GOAL KICK,2,93,5619.12,5619.84,Player11,Player7,48.76,-1.36,36.04,21.08
Home,BALL LOST,INTERCEPTION,2,93,5624.76,5627.24,Player7,,23.32,26.52,-8.48,22.44
Away,RECOVERY,INTERCEPTION,2,93,5627.0,5627.0,Player20,,-9.54,23.8,,
Away,PASS,,2,93,5629.16,5629.76,Player20,Player28,-8.48,31.28,0.0,23.8
Home,CHALLENGE,TACKLE-FAULT-LOST,2,93,5635.72,5635.72,Player14,,6.36,6.12,,
Away,CHALLENGE,TACKLE-FAULT-WON,2,93,5636.48,5636.48,Player28,,10.6,3.4,,
Away,FAULT RECEIVED,,2,93,5636.48,5636.48,Player28,,10.6,3.4,,
Away,SET PIECE,FREE KICK,2,94,5645.48,5645.48,Player21,,,,,
Away,PASS,,2,94,5645.6,5645.92,Player21,Player28,11.66,4.76,14.84,4.76
Away,PASS,,2,94,5647.4,5649.2,Player28,Player27,16.96,5.44,28.62,29.92
Home,CHALLENGE,TACKLE-LOST,2,94,5656.16,5656.16,Player14,,39.22,26.52,,
Away,PASS,,2,94,5657.44,5658.04,Player27,Player28,38.16,31.96,29.68,25.16
Away,BALL OUT,,2,94,5661.64,5661.92,Player28,,30.74,21.76,55.12,11.56
Home,RECOVERY,,2,94,5662.08,5662.08,Player11,,51.94,5.44,,
Home,BALL OUT,GOAL KICK,2,94,5690.36,5695.76,Player11,,49.82,2.04,-12.72,-35.36
Home,CHALLENGE,AERIAL-LOST,2,94,5695.76,5695.76,Player8,,-3.18,-28.56,,
Away,SET PIECE,THROW IN,2,95,5700.64,5700.64,Player17,,,,,
Away,PASS,,2,95,5701.04,5702.16,Player17,Player21,-1.06,-34.68,-6.36,-18.36
Away,PASS,,2,95,5704.6,5705.92,Player21,Player16,-8.48,-14.96,-19.08,-9.52
Away,PASS,,2,95,5706.6,5707.8,Player16,Player20,-19.08,-8.84,-11.66,10.2
Away,PASS,,2,95,5708.6,5710.2,Player20,Player27,-9.54,11.56,10.6,31.28
Away,BALL LOST,INTERCEPTION,2,95,5715.44,5717.52,Player27,,23.32,28.56,37.1,12.24
Home,RECOVERY,INTERCEPTION,2,95,5717.52,5717.52,Player2,,37.1,12.24,,
Home,BALL LOST,CLEARANCE,2,95,5717.72,5720.32,Player2,,37.1,12.24,-2.12,10.88
Away,RECOVERY,INTERCEPTION,2,95,5720.52,5720.52,Player16,,-3.18,8.84,,
Away,PASS,,2,95,5725.2,5725.48,Player16,Player18,0.0,8.84,11.66,-2.04
Away,BALL LOST,INTERCEPTION,2,95,5729.16,5729.88,Player18,,19.08,13.6,28.62,18.36
Home,RECOVERY,INTERCEPTION,2,95,5729.6,5729.6,Player14,,25.44,19.04,,
Home,PASS,,2,95,5730.48,5731.88,Player14,Player12,26.5,19.04,22.26,14.96
Home,PASS,,2,95,5734.44,5739.32,Player12,Player13,10.6,11.56,-32.86,-30.6
Home,PASS,,2,95,5743.12,5743.72,Player13,Player4,-43.46,-25.84,-38.16,-12.92
Home,BALL LOST,INTERCEPTION,2,95,5743.92,5744.72,Player4,,-39.22,-12.92,-45.58,-7.48
Away,RECOVERY,BLOCKED,2,95,5744.68,5744.68,Player16,,-47.7,-8.16,,
Away,BALL OUT,,2,95,5744.88,5745.2,Player16,,-47.7,-8.84,-49.82,-34.68
